2025-03-09 17:41:59,325 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:00,326 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:01,327 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:02,328 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:03,329 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:04,332 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:05,333 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:06,334 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:07,334 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:08,335 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:09,336 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:10,338 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:11,339 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:12,340 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:13,341 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:14,347 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:15,349 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:16,350 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:17,350 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:18,351 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:19,352 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:20,353 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:21,354 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:22,355 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:23,356 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:24,356 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:25,358 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:26,359 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:27,359 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:28,360 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:29,361 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:30,362 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:31,364 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:32,365 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:33,366 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:34,366 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:35,367 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:36,368 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:37,369 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:38,372 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:39,373 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:40,374 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:41,374 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:42,375 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:43,376 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:44,376 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:45,377 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:46,378 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:47,379 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:48,379 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:49,380 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:50,381 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:51,381 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:52,382 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:53,383 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:54,383 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:55,384 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:56,385 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:55,969 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:56,970 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:57,970 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:58,971 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:42:59,972 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:00,972 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:01,974 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:02,974 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:03,975 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:04,976 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:05,976 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:06,977 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:07,978 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:08,978 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:09,979 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:10,980 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:11,980 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:12,981 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:13,983 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:14,983 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:15,984 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:16,987 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:17,988 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:18,989 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:19,991 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:20,997 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
